run,task,cycle,task_1,task_2,task_3,task_4
0,0,0,50.11,0.0,0.0,0.0
0,0,1,50.11,0.0,0.0,0.0
0,0,2,86.75,0.0,0.0,0.0
0,0,3,97.13,0.0,0.0,0.0
0,0,4,99.67,0.0,0.0,0.0
0,0,5,99.67,0.0,0.0,0.0
0,0,6,99.12,0.0,0.0,0.0
0,0,7,98.57,0.0,0.0,0.0
0,0,8,98.23,0.0,0.0,0.0
0,0,9,97.46,0.0,0.0,0.0
0,1,0,58.28,89.14,0.0,0.0
0,1,1,53.86,90.5,0.0,0.0
0,1,2,51.32,95.48,0.0,0.0
0,1,3,52.32,98.53,0.0,0.0
0,1,4,52.65,98.76,0.0,0.0
0,1,5,53.31,97.62,0.0,0.0
0,1,6,53.42,97.85,0.0,0.0
0,1,7,54.08,97.96,0.0,0.0
0,1,8,54.3,97.96,0.0,0.0
0,1,9,54.64,98.53,0.0,0.0
0,2,0,53.09,74.89,52.72,0.0
0,2,1,52.76,80.77,54.2,0.0
0,2,2,53.09,83.03,53.63,0.0
0,2,3,55.96,79.98,72.0,0.0
0,2,4,55.63,82.47,74.15,0.0
0,2,5,58.72,75.34,88.44,0.0
0,2,6,57.51,73.53,91.04,0.0
0,2,7,58.28,75.11,91.84,0.0
0,2,8,58.28,76.13,91.95,0.0
0,2,9,58.61,79.52,92.18,0.0
0,3,0,50.55,85.18,57.26,70.33
0,3,1,51.1,75.11,53.51,89.56
0,3,2,47.24,77.49,64.51,92.2
0,3,3,47.79,71.04,63.49,95.38
0,3,4,47.46,71.38,64.51,96.26
0,3,5,48.45,74.1,64.51,95.93
0,3,6,48.23,73.87,65.31,96.59
0,3,7,48.23,73.08,65.08,96.81
0,3,8,48.23,73.53,64.97,96.81
0,3,9,48.23,72.85,65.08,96.92
1,0,0,50.51,0.0,0.0,0.0
1,0,1,49.16,0.0,0.0,0.0
1,0,2,49.16,0.0,0.0,0.0
1,0,3,88.08,0.0,0.0,0.0
1,0,4,91.56,0.0,0.0,0.0
1,0,5,94.49,0.0,0.0,0.0
1,0,6,97.64,0.0,0.0,0.0
1,0,7,97.41,0.0,0.0,0.0
1,0,8,97.75,0.0,0.0,0.0
1,0,9,97.86,0.0,0.0,0.0
1,1,0,87.4,63.49,0.0,0.0
1,1,1,87.51,63.49,0.0,0.0
1,1,2,84.14,69.95,0.0,0.0
1,1,3,73.45,77.66,0.0,0.0
1,1,4,72.89,82.2,0.0,0.0
1,1,5,74.58,85.26,0.0,0.0
1,1,6,80.43,92.86,0.0,0.0
1,1,7,79.42,93.31,0.0,0.0
1,1,8,80.43,94.67,0.0,0.0
1,1,9,80.54,94.67,0.0,0.0
1,2,0,79.75,77.55,94.05,0.0
1,2,1,79.87,52.95,99.45,0.0
1,2,2,80.31,57.03,99.78,0.0
1,2,3,81.1,66.21,99.67,0.0
1,2,4,79.98,65.08,99.67,0.0
1,2,5,79.64,68.25,99.89,0.0
1,2,6,79.87,66.78,99.89,0.0
1,2,7,80.31,66.89,99.89,0.0
1,2,8,81.44,66.89,99.78,0.0
1,2,9,81.1,66.55,99.78,0.0
1,3,0,82.68,64.29,96.8,47.01
1,3,1,70.3,57.94,63.73,63.16
1,3,2,76.49,64.51,89.97,71.02
1,3,3,77.95,65.08,90.63,72.9
1,3,4,75.59,43.65,61.19,83.63
1,3,5,79.75,56.58,71.89,85.84
1,3,6,74.92,39.91,76.07,91.48
1,3,7,76.15,45.01,82.91,92.81
1,3,8,76.27,45.8,84.12,92.7
1,3,9,76.15,46.6,86.11,92.59
2,0,0,77.14,0.0,0.0,0.0
2,0,1,71.92,0.0,0.0,0.0
2,0,2,76.14,0.0,0.0,0.0
2,0,3,88.01,0.0,0.0,0.0
2,0,4,87.57,0.0,0.0,0.0
2,0,5,88.9,0.0,0.0,0.0
2,0,6,88.46,0.0,0.0,0.0
2,0,7,87.46,0.0,0.0,0.0
2,0,8,85.79,0.0,0.0,0.0
2,0,9,85.02,0.0,0.0,0.0
2,1,0,53.16,76.64,0.0,0.0
2,1,1,76.8,78.67,0.0,0.0
2,1,2,78.25,79.57,0.0,0.0
2,1,3,82.13,84.65,0.0,0.0
2,1,4,84.68,87.81,0.0,0.0
2,1,5,84.46,88.04,0.0,0.0
2,1,6,81.91,91.31,0.0,0.0
2,1,7,84.35,91.87,0.0,0.0
2,1,8,84.24,93.0,0.0,0.0
2,1,9,75.8,93.34,0.0,0.0
2,2,0,73.25,84.09,81.92,0.0
2,2,1,79.25,80.25,91.53,0.0
2,2,2,84.46,78.1,96.38,0.0
2,2,3,85.68,69.75,97.97,0.0
2,2,4,84.79,69.41,98.19,0.0
2,2,5,84.46,69.41,98.42,0.0
2,2,6,84.35,69.53,98.53,0.0
2,2,7,84.35,69.07,98.53,0.0
2,2,8,84.24,69.19,98.53,0.0
2,2,9,84.35,69.19,98.53,0.0
2,3,0,71.59,65.12,91.07,69.89
2,3,1,61.93,71.78,93.33,88.9
2,3,2,73.14,69.98,86.55,94.73
2,3,3,61.49,69.53,80.11,95.49
2,3,4,61.38,69.53,80.34,95.49
2,3,5,61.71,69.41,81.13,95.49
2,3,6,63.04,69.53,82.94,97.36
2,3,7,63.37,69.41,83.95,97.36
2,3,8,59.93,70.2,85.42,97.03
2,3,9,59.93,70.09,86.21,97.03
3,0,0,87.58,0.0,0.0,0.0
3,0,1,86.57,0.0,0.0,0.0
3,0,2,88.15,0.0,0.0,0.0
3,0,3,88.26,0.0,0.0,0.0
3,0,4,91.08,0.0,0.0,0.0
3,0,5,90.74,0.0,0.0,0.0
3,0,6,89.73,0.0,0.0,0.0
3,0,7,89.73,0.0,0.0,0.0
3,0,8,89.5,0.0,0.0,0.0
3,0,9,89.62,0.0,0.0,0.0
3,1,0,77.54,92.28,0.0,0.0
3,1,1,62.75,99.67,0.0,0.0
3,1,2,62.08,99.67,0.0,0.0
3,1,3,63.54,99.67,0.0,0.0
3,1,4,64.79,99.67,0.0,0.0
3,1,5,65.8,99.67,0.0,0.0
3,1,6,66.37,99.67,0.0,0.0
3,1,7,66.82,99.67,0.0,0.0
3,1,8,75.96,99.89,0.0,0.0
3,1,9,76.07,99.89,0.0,0.0
3,2,0,40.63,92.94,48.14,0.0
3,2,1,60.16,98.68,72.49,0.0
3,2,2,62.42,98.68,78.58,0.0
3,2,3,71.33,95.92,86.02,0.0
3,2,4,53.95,88.75,93.57,0.0
3,2,5,55.53,88.97,93.69,0.0
3,2,6,64.79,88.97,94.36,0.0
3,2,7,64.0,90.41,94.59,0.0
3,2,8,64.22,90.74,94.59,0.0
3,2,9,64.67,91.07,94.59,0.0
3,3,0,75.62,86.22,36.41,86.14
3,3,1,72.46,75.19,22.77,94.01
3,3,2,72.69,77.29,23.9,93.9
3,3,3,72.57,79.93,26.83,93.57
3,3,4,61.63,70.78,42.05,93.35
3,3,5,63.66,77.29,43.86,95.01
3,3,6,64.22,78.39,44.08,94.9
3,3,7,64.56,79.38,44.64,94.57
3,3,8,64.9,80.49,45.21,94.57
3,3,9,65.35,80.93,45.66,94.24
4,0,0,49.16,0.0,0.0,0.0
4,0,1,49.16,0.0,0.0,0.0
4,0,2,49.16,0.0,0.0,0.0
4,0,3,49.16,0.0,0.0,0.0
4,0,4,49.16,0.0,0.0,0.0
4,0,5,88.86,0.0,0.0,0.0
4,0,6,93.25,0.0,0.0,0.0
4,0,7,97.86,0.0,0.0,0.0
4,0,8,97.98,0.0,0.0,0.0
4,0,9,98.76,0.0,0.0,0.0
4,1,0,84.36,74.84,0.0,0.0
4,1,1,77.28,94.62,0.0,0.0
4,1,2,79.42,96.26,0.0,0.0
4,1,3,78.74,96.59,0.0,0.0
4,1,4,78.18,96.59,0.0,0.0
4,1,5,76.04,98.46,0.0,0.0
4,1,6,77.95,97.14,0.0,0.0
4,1,7,73.79,98.68,0.0,0.0
4,1,8,73.79,98.68,0.0,0.0
4,1,9,74.02,98.68,0.0,0.0
4,2,0,70.87,84.07,64.89,0.0
4,2,1,76.15,90.0,82.72,0.0
4,2,2,76.04,89.78,83.83,0.0
4,2,3,73.79,85.49,89.04,0.0
4,2,4,66.82,75.71,91.25,0.0
4,2,5,66.93,75.93,91.47,0.0
4,2,6,67.72,75.71,91.92,0.0
4,2,7,68.39,76.59,92.25,0.0
4,2,8,68.62,76.59,92.25,0.0
4,2,9,68.95,76.59,92.25,0.0
4,3,0,69.63,78.02,73.86,75.91
4,3,1,57.59,67.14,51.27,94.2
4,3,2,59.39,68.13,52.16,94.43
4,3,3,61.75,67.91,57.7,97.05
4,3,4,62.43,68.02,58.8,97.05
4,3,5,63.78,67.47,58.91,97.61
4,3,6,63.78,68.79,60.47,98.07
4,3,7,64.0,69.67,61.13,97.95
4,3,8,64.0,70.22,61.46,97.84
4,3,9,63.78,70.33,61.9,97.84
0,0,0,50.11,0.0,0.0,0.0
0,0,1,50.11,0.0,0.0,0.0
0,0,2,86.75,0.0,0.0,0.0
0,0,3,97.13,0.0,0.0,0.0
0,0,4,99.67,0.0,0.0,0.0
0,0,5,99.67,0.0,0.0,0.0
0,0,6,99.12,0.0,0.0,0.0
0,0,7,98.57,0.0,0.0,0.0
0,0,8,98.23,0.0,0.0,0.0
0,0,9,97.46,0.0,0.0,0.0
0,1,0,58.28,89.14,0.0,0.0
0,1,1,53.86,90.5,0.0,0.0
0,1,2,51.32,95.48,0.0,0.0
0,1,3,52.32,98.53,0.0,0.0
0,1,4,52.65,98.76,0.0,0.0
0,1,5,53.31,97.62,0.0,0.0
0,1,6,53.42,97.85,0.0,0.0
0,1,7,54.08,97.96,0.0,0.0
0,1,8,54.3,97.96,0.0,0.0
0,1,9,54.64,98.53,0.0,0.0
0,2,0,53.09,74.89,52.72,0.0
0,2,1,52.76,80.77,54.2,0.0
0,2,2,53.09,83.03,53.63,0.0
0,2,3,55.96,79.98,72.0,0.0
0,2,4,55.63,82.47,74.15,0.0
0,2,5,58.72,75.34,88.44,0.0
0,2,6,57.51,73.53,91.04,0.0
0,2,7,58.28,75.11,91.84,0.0
0,2,8,58.28,76.13,91.95,0.0
0,2,9,58.61,79.52,92.18,0.0
0,3,0,50.55,85.18,57.26,70.33
0,3,1,51.1,75.11,53.51,89.56
0,3,2,47.24,77.49,64.51,92.2
0,3,3,47.79,71.04,63.49,95.38
0,3,4,47.46,71.38,64.51,96.26
0,3,5,48.45,74.1,64.51,95.93
0,3,6,48.23,73.87,65.31,96.59
0,3,7,48.23,73.08,65.08,96.81
0,3,8,48.23,73.53,64.97,96.81
0,3,9,48.23,72.85,65.08,96.92
1,0,0,50.51,0.0,0.0,0.0
1,0,1,49.16,0.0,0.0,0.0
1,0,2,49.16,0.0,0.0,0.0
1,0,3,88.08,0.0,0.0,0.0
1,0,4,91.56,0.0,0.0,0.0
1,0,5,94.49,0.0,0.0,0.0
1,0,6,97.64,0.0,0.0,0.0
1,0,7,97.41,0.0,0.0,0.0
1,0,8,97.75,0.0,0.0,0.0
1,0,9,97.86,0.0,0.0,0.0
1,1,0,87.4,63.49,0.0,0.0
1,1,1,87.51,63.49,0.0,0.0
1,1,2,84.14,69.95,0.0,0.0
1,1,3,73.45,77.66,0.0,0.0
1,1,4,72.89,82.2,0.0,0.0
1,1,5,74.58,85.26,0.0,0.0
1,1,6,80.43,92.86,0.0,0.0
1,1,7,79.42,93.31,0.0,0.0
1,1,8,80.43,94.67,0.0,0.0
1,1,9,80.54,94.67,0.0,0.0
1,2,0,79.75,77.55,94.05,0.0
1,2,1,79.87,52.95,99.45,0.0
1,2,2,80.31,57.03,99.78,0.0
1,2,3,81.1,66.21,99.67,0.0
1,2,4,79.98,65.08,99.67,0.0
1,2,5,79.64,68.25,99.89,0.0
1,2,6,79.87,66.78,99.89,0.0
1,2,7,80.31,66.89,99.89,0.0
1,2,8,81.44,66.89,99.78,0.0
1,2,9,81.1,66.55,99.78,0.0
1,3,0,82.68,64.29,96.8,47.01
1,3,1,70.3,57.94,63.73,63.16
1,3,2,76.49,64.51,89.97,71.02
1,3,3,77.95,65.08,90.63,72.9
1,3,4,75.59,43.65,61.19,83.63
1,3,5,79.75,56.58,71.89,85.84
1,3,6,74.92,39.91,76.07,91.48
1,3,7,76.15,45.01,82.91,92.81
1,3,8,76.27,45.8,84.12,92.7
1,3,9,76.15,46.6,86.11,92.59
2,0,0,77.14,0.0,0.0,0.0
2,0,1,71.92,0.0,0.0,0.0
2,0,2,76.14,0.0,0.0,0.0
2,0,3,88.01,0.0,0.0,0.0
2,0,4,87.57,0.0,0.0,0.0
2,0,5,88.9,0.0,0.0,0.0
2,0,6,88.46,0.0,0.0,0.0
2,0,7,87.46,0.0,0.0,0.0
2,0,8,85.79,0.0,0.0,0.0
2,0,9,85.02,0.0,0.0,0.0
2,1,0,53.16,76.64,0.0,0.0
2,1,1,76.8,78.67,0.0,0.0
2,1,2,78.25,79.57,0.0,0.0
2,1,3,82.13,84.65,0.0,0.0
2,1,4,84.68,87.81,0.0,0.0
2,1,5,84.46,88.04,0.0,0.0
2,1,6,81.91,91.31,0.0,0.0
2,1,7,84.35,91.87,0.0,0.0
2,1,8,84.24,93.0,0.0,0.0
2,1,9,75.8,93.34,0.0,0.0
2,2,0,73.25,84.09,81.92,0.0
2,2,1,79.25,80.25,91.53,0.0
2,2,2,84.46,78.1,96.38,0.0
2,2,3,85.68,69.75,97.97,0.0
2,2,4,84.79,69.41,98.19,0.0
2,2,5,84.46,69.41,98.42,0.0
2,2,6,84.35,69.53,98.53,0.0
2,2,7,84.35,69.07,98.53,0.0
2,2,8,84.24,69.19,98.53,0.0
2,2,9,84.35,69.19,98.53,0.0
2,3,0,71.59,65.12,91.07,69.89
2,3,1,61.93,71.78,93.33,88.9
2,3,2,73.14,69.98,86.55,94.73
2,3,3,61.49,69.53,80.11,95.49
2,3,4,61.38,69.53,80.34,95.49
2,3,5,61.71,69.41,81.13,95.49
2,3,6,63.04,69.53,82.94,97.36
2,3,7,63.37,69.41,83.95,97.36
2,3,8,59.93,70.2,85.42,97.03
2,3,9,59.93,70.09,86.21,97.03
3,0,0,87.58,0.0,0.0,0.0
3,0,1,86.57,0.0,0.0,0.0
3,0,2,88.15,0.0,0.0,0.0
3,0,3,88.26,0.0,0.0,0.0
3,0,4,91.08,0.0,0.0,0.0
3,0,5,90.74,0.0,0.0,0.0
3,0,6,89.73,0.0,0.0,0.0
3,0,7,89.73,0.0,0.0,0.0
3,0,8,89.5,0.0,0.0,0.0
3,0,9,89.62,0.0,0.0,0.0
3,1,0,77.54,92.28,0.0,0.0
3,1,1,62.75,99.67,0.0,0.0
3,1,2,62.08,99.67,0.0,0.0
3,1,3,63.54,99.67,0.0,0.0
3,1,4,64.79,99.67,0.0,0.0
3,1,5,65.8,99.67,0.0,0.0
3,1,6,66.37,99.67,0.0,0.0
3,1,7,66.82,99.67,0.0,0.0
3,1,8,75.96,99.89,0.0,0.0
3,1,9,76.07,99.89,0.0,0.0
3,2,0,40.63,92.94,48.14,0.0
3,2,1,60.16,98.68,72.49,0.0
3,2,2,62.42,98.68,78.58,0.0
3,2,3,71.33,95.92,86.02,0.0
3,2,4,53.95,88.75,93.57,0.0
3,2,5,55.53,88.97,93.69,0.0
3,2,6,64.79,88.97,94.36,0.0
3,2,7,64.0,90.41,94.59,0.0
3,2,8,64.22,90.74,94.59,0.0
3,2,9,64.67,91.07,94.59,0.0
3,3,0,75.62,86.22,36.41,86.14
3,3,1,72.46,75.19,22.77,94.01
3,3,2,72.69,77.29,23.9,93.9
3,3,3,72.57,79.93,26.83,93.57
3,3,4,61.63,70.78,42.05,93.35
3,3,5,63.66,77.29,43.86,95.01
3,3,6,64.22,78.39,44.08,94.9
3,3,7,64.56,79.38,44.64,94.57
3,3,8,64.9,80.49,45.21,94.57
3,3,9,65.35,80.93,45.66,94.24
4,0,0,49.16,0.0,0.0,0.0
4,0,1,49.16,0.0,0.0,0.0
4,0,2,49.16,0.0,0.0,0.0
4,0,3,49.16,0.0,0.0,0.0
4,0,4,49.16,0.0,0.0,0.0
4,0,5,88.86,0.0,0.0,0.0
4,0,6,93.25,0.0,0.0,0.0
4,0,7,97.86,0.0,0.0,0.0
4,0,8,97.98,0.0,0.0,0.0
4,0,9,98.76,0.0,0.0,0.0
4,1,0,84.36,74.84,0.0,0.0
4,1,1,77.28,94.62,0.0,0.0
4,1,2,79.42,96.26,0.0,0.0
4,1,3,78.74,96.59,0.0,0.0
4,1,4,78.18,96.59,0.0,0.0
4,1,5,76.04,98.46,0.0,0.0
4,1,6,77.95,97.14,0.0,0.0
4,1,7,73.79,98.68,0.0,0.0
4,1,8,73.79,98.68,0.0,0.0
4,1,9,74.02,98.68,0.0,0.0
4,2,0,70.87,84.07,64.89,0.0
4,2,1,76.15,90.0,82.72,0.0
4,2,2,76.04,89.78,83.83,0.0
4,2,3,73.79,85.49,89.04,0.0
4,2,4,66.82,75.71,91.25,0.0
4,2,5,66.93,75.93,91.47,0.0
4,2,6,67.72,75.71,91.92,0.0
4,2,7,68.39,76.59,92.25,0.0
4,2,8,68.62,76.59,92.25,0.0
4,2,9,68.95,76.59,92.25,0.0
4,3,0,69.63,78.02,73.86,75.91
4,3,1,57.59,67.14,51.27,94.2
4,3,2,59.39,68.13,52.16,94.43
4,3,3,61.75,67.91,57.7,97.05
4,3,4,62.43,68.02,58.8,97.05
4,3,5,63.78,67.47,58.91,97.61
4,3,6,63.78,68.79,60.47,98.07
4,3,7,64.0,69.67,61.13,97.95
4,3,8,64.0,70.22,61.46,97.84
4,3,9,63.78,70.33,61.9,97.84
